Date,MSCI WORLD 500 Index
2000-09-27,1041.2868347579606
2000-12-26,891.7230664237799
2001-03-30,807.7836269314902
2002-03-29,770.2139092269556
2002-11-19,539.7405095357849
2003-08-01,529.9288657653257
2004-06-30,588.1788849577079
2005-07-19,662.290613550612
2005-08-25,652.4987747676844
2006-07-13,690.6331400539949
2007-11-26,729.8849844221827
2010-01-15,604.6870033595428
2022-10-31,2532.359935485301
2023-03-31,2534.282535568384
2023-04-28,2541.217280748436
2023-05-31,2621.0667737854756
2023-06-30,2719.7192830200192
2023-07-31,2776.5930885187813
2023-08-31,2761.5273791092836
2023-09-29,2708.57394798478
2023-10-31,2649.3443867052247
2023-12-18,2897.4400760795843
2024-04-30,3154.5319222392386
2024-07-02,3408.1529335878836
2024-08-12,3246.540054371616
2024-08-13,3293.368654497219
2024-08-14,3288.1546658858106
2024-08-15,3351.3054321981494
2024-08-16,3362.89881602464
2024-08-19,3372.860932886621
2024-08-20,3355.4230420809404
2024-08-21,3364.3586129928854
2024-08-22,3342.6803864130115
2024-08-23,3360.9682178004787
2024-08-26,3352.745663074349
2024-08-27,3361.1020388679513
2024-08-28,3355.714653418258
2024-08-29,3374.7417019223217
2024-08-30,3404.4784802921613
2024-09-02,3403.5638124746274
2024-09-03,3347.3105710293826
2024-09-04,3319.4462769981033
2024-09-05,3311.1967055560663
2024-09-06,3248.8876673934883
2024-09-09,3301.7766425734367
2024-09-10,3317.623720166722
2024-09-11,3349.7650287474503
2024-09-12,3370.9547442529883
2024-09-13,3375.65152990352
2024-09-16,3369.3761206397776
2024-09-17,3368.0043851693526
2024-09-18,3359.2843086595544
2024-09-19,3414.629514419673
2024-09-20,3400.494023133361
2024-09-23,3413.5541857789267
2024-09-24,3420.245290678088
2024-09-25,3408.6940225969033
2024-09-26,3430.631068628467
2024-09-27,3429.335320321625
2024-09-30,3436.0599328108456
2024-10-01,3433.552275447105
2024-10-02,3441.8182309730864
2024-10-03,3439.5013200141225
2024-10-04,3478.425760191661
2024-10-07,3455.639124842209
2024-10-08,3477.6679589520636
2024-10-09,3507.19871865358
2024-10-10,3510.9418045288594
2024-10-11,3524.0450400478226
2024-10-14,3556.5525494780068
2024-10-15,3533.08025370287
2024-10-16,3548.71253070322
2024-10-17,3568.400878354647
2024-10-18,3573.464589611291
2024-10-21,3571.6100326762003
2024-10-22,3574.5074540069277
2024-10-23,3551.842592888027
2024-10-24,3553.8196576145865
2024-10-25,3542.960740418401
2024-10-28,3556.1254776245223
2024-10-29,3566.046714603041
2024-10-30,3531.7799343824418
2024-10-31,3473.824049020031
2024-11-01,3490.7817466993497
