Date,MSCI EMU 50 Index
2003-08-01,462.4336139838415
2006-07-13,711.9366035695174
2024-01-05,1514.2418933028575
2024-01-08,1521.7606830653715
2024-01-09,1515.4856957746892
2024-01-10,1515.8855770789385
2024-01-11,1506.6612862662398
2024-01-12,1519.1643123889708
2024-01-15,1511.1564892521762
2024-01-16,1508.765037621908
2024-01-17,1494.6342709051733
2024-01-18,1514.3868163512548
2024-01-19,1514.3153596381046
2024-01-22,1525.8869839313054
2024-01-23,1520.149415441842
2024-01-24,1553.6165002752887
2024-01-25,1559.7774106741686
2024-01-26,1577.8106689661138
2024-01-29,1578.8566745322523
2024-01-30,1586.7574731948505
2024-01-31,1581.7304085486041
2024-02-01,1578.1233446163722
2024-02-02,1582.9098740652717
2024-02-05,1583.5091712571943
2024-02-06,1595.7639476858255
2024-02-07,1591.7490841613903
2024-02-08,1599.5541837431147
2024-02-09,1602.205202175108
2024-02-12,1611.8026104512157
2024-02-13,1592.5622072077376
2024-02-14,1600.6159532661595
2024-02-15,1611.1852736045068
2024-02-16,1618.4534711381953
2024-02-19,1617.7269767245277
2024-02-20,1616.9863417919973
2024-02-21,1622.3285803740046
2024-02-22,1649.693925408865
2024-02-23,1655.0599897065958
2024-02-26,1652.4726681245916
2024-02-27,1660.1681418669966
2024-02-28,1658.3178985212614
2024-02-29,1655.5493620965256
2024-03-01,1663.0748575311322
2024-03-04,1668.768515636279
2024-03-05,1661.7793864398866
2024-03-06,1669.6949569104377
2024-03-07,1690.1269010084536
2024-03-08,1685.3546898680304
2024-03-11,1674.8957169442513
2024-03-12,1692.755851027453
2024-03-13,1698.8188848726263
2024-03-14,1695.984384365583
2024-03-15,1692.5543823041962
2024-03-18,1692.126345076519
2024-03-19,1699.545015256785
2024-03-20,1697.337903994895
2024-03-21,1715.3514692039048
2024-03-22,1708.8258218068759
2024-03-25,1713.0095182297473
2024-03-26,1718.8057651646325
2024-03-27,1724.882992602616
2024-03-28,1725.0432172439305
2024-03-29,1725.0432172439305
2024-04-01,1725.043217243931
2024-04-02,1710.0687082993113
2024-04-03,1718.8751576792802
2024-04-04,1719.0575460854832
2024-04-05,1700.6831755470928
2024-04-08,1712.5307171094341
2024-04-09,1694.1409844368225
2024-04-10,1697.6400806429976
2024-04-11,1687.657518600787
2024-04-12,1683.4635196589427
2024-04-15,1692.9633735919147
2024-04-16,1670.8361931220902
2024-04-17,1668.5100280431327
2024-04-18,1675.1848450642754
2024-04-19,1668.2935127078713
2024-04-22,1676.7968217098246
2024-04-23,1703.0843422370467
2024-04-24,1698.8434012144266
2024-04-25,1682.2686033551643
2024-04-26,1707.7527241722787
2024-04-29,1699.7872743991138
2024-04-30,1680.4774248826711
2024-05-01,1680.4774248826711
2024-05-02,1670.2945105098065
2024-05-03,1682.184648455601
2024-05-06,1694.9806055204622
2024-05-07,1715.3802486010381
2024-05-08,1722.5249188646233
2024-05-09,1731.0820475765001
2024-05-10,1741.9031606209398
2024-05-13,1740.9387436170678
2024-05-14,1741.2771439070805
2024-05-15,1749.676983130563
2024-05-16,1741.6058298680082
2024-05-17,1738.4628793425816
2024-05-20,1744.1023905643603
2024-05-21,1736.1484039907475
2024-05-22,1728.7402391539947
2024-05-23,1734.0376173745383
2024-05-24,1732.988310564908
2024-05-27,1740.830036721675
2024-05-28,1731.8023723956526
2024-05-29,1708.7799818311796
2024-05-30,1715.3990697374268
2024-05-31,1714.7985469384837
2024-06-03,1721.8588686227658
2024-06-04,1705.1444327616057
2024-06-05,1735.6892883166436
2024-06-06,1747.696974266557
2024-06-07,1742.2936390936604
2024-06-10,1730.9918222603437
2024-06-11,1713.2782620012506
2024-06-12,1737.967624984705
2024-06-13,1703.6839874292093
2024-06-14,1670.6146472559267
2024-06-17,1684.991936409466
2024-06-18,1696.7881199559602
2024-06-19,1687.0160125671227
2024-06-20,1709.640920808368
2024-06-21,1694.607917019654
2024-06-24,1708.4341537967273
2024-06-25,1703.7688751515502
2024-06-26,1697.1373276025672
2024-06-27,1692.2796249690698
2024-06-28,1689.6459395760198
2024-07-01,1701.3012003827707
2024-07-02,1693.9434090342802
2024-07-03,1714.9976589899895
2024-07-04,1723.2431114833228
2024-07-05,1720.4966972176508
2024-07-08,1717.2786497214715
2024-07-09,1694.4252140016526
2024-07-10,1713.656193736649
2024-07-11,1718.9413770789934
2024-07-12,1742.1309938523657
2024-07-15,1722.2795529724858
2024-07-16,1710.413348769121
2024-07-17,1687.0086979183377
2024-07-18,1678.3110573312447
2024-07-19,1663.6528631656988
2024-07-22,1688.37240270891
2024-07-23,1697.124419572424
2024-07-24,1675.0564408371547
2024-07-25,1657.2613592941736
2024-07-26,1674.0201049060959
2024-07-29,1657.7315329452158
2024-07-30,1665.8174278543718
2024-07-31,1678.5624386026257
2024-08-01,1641.2725953993477
2024-08-02,1593.7764655322098
2024-08-05,1572.0481789011728
2024-08-06,1574.84019466669
2024-08-07,1605.8657039531324
2024-08-08,1606.1460706733687
2024-08-09,1608.7549626932391
2024-08-12,1607.7628236407324
2024-08-13,1615.7346731797506
2024-08-14,1627.3088471692986
2024-08-15,1655.5501749304506
2024-08-16,1666.8934633179872
2024-08-19,1677.3022804513146
2024-08-20,1672.919370322125
2024-08-21,1682.9831629656546
2024-08-22,1682.9743337277357
2024-08-23,1690.606938847324
2024-08-26,1685.670670994433
2024-08-27,1686.6620982712654
2024-08-28,1691.374592206603
2024-08-29,1710.159474285231
2024-08-30,1707.1502189550883
2024-09-02,1712.0609223679226
2024-09-03,1690.511844919761
2024-09-04,1666.8864243378964
