Date,EMU REGION ESG SELECTION P-SERIES
2024-10-11,1575.0736357124704
2024-10-14,1580.7208265612999
2024-10-15,1547.8680788807847
2024-10-16,1531.3260126595133
2024-10-17,1534.2046933508186
2024-10-18,1550.5701889041206
2024-10-21,1531.3467554976119
2024-10-22,1525.5077845566943
2024-10-23,1513.597254287221
2024-10-24,1518.4608993179884
2024-10-25,1525.826946042112
2024-10-28,1532.3270909262626
2024-10-29,1523.2207225051645
2024-10-30,1512.2632371079558
2024-10-31,1497.604627941771
2024-11-01,1510.1485217072718
2024-11-04,1508.484416306259
2024-11-05,1518.2301385799437
2024-11-06,1479.213693452057
2024-11-07,1503.3891346596517
2024-11-08,1484.436924688178
